16752
2046	101448	1
2048	94533	1
2048	94533	1
2047	107982	1
2049	87718	1
1851	94536	1
1852	101454	1
2049	87718	1
2048	94533	1
1851	94536	1
2046	101448	1
2049	87718	1
1852	101454	1
2049	87718	1
1851	94536	1
2850	10433	1
2851	87719	1
2852	94538	1
2853	101455	1
2850	10433	1
2854	62914	1
2855	101456	1
2856	101457	1
2858	62915	1
2859	94541	1
2859	94541	1
2860	87722	1
2861	87724	1
2862	62916	1
2851	87719	1
2856	101457	1
2854	62914	1
2862	62916	1
2855	101456	1
2851	87719	1
2860	87722	1
2854	62914	1
1444	94543	1
2863	62918	1
2862	62916	1
2864	94544	1
2852	94538	1
2859	94541	1
2850	10433	1
2861	87724	1
2857	101463	1
2851	87719	1
2865	87725	1
2866	94548	1
2861	87724	1
2854	62914	1
2858	62915	1
2863	62918	1
2861	87724	1
2853	101455	1
2858	62915	1
2858	62915	1
2865	87725	1
2857	101463	1
2866	94548	1
2862	62916	1
2865	87725	1
2867	94549	1
1444	94543	1
2865	87725	1
2864	94544	1
2860	87722	1
2852	94538	1
2867	94549	1
1444	94543	1
2858	62915	1
2850	10433	1
2864	94544	1
2860	87722	1
2854	62914	1
2866	94548	1
2862	62916	1
2867	94549	1
1352	101468	1
1352	33742	34
1352	107988	22
2050	101469	1
2050	101469	1
1352	101468	1
1352	107992	22
2868	94552	1
2869	94557	1
2870	107994	1
2871	62919	1
1853	101475	1
1725	101476	1
2051	94560	1
2871	62919	1
2869	94557	1
2872	62918	1
2869	94557	1
2052	94564	1
2871	62919	1
2868	94552	1
1725	101476	1
2053	101482	1
2872	62918	1
2868	94552	1
2052	94564	1
1853	107996	21
2053	101482	1
6101	94571	1
2052	94564	1
2871	62919	1
1854	107997	1
6101	94571	1
6101	94571	1
2871	62919	1
2051	94560	1
2051	94560	1
1853	101475	1
3888	12008	1
6102	12008	1
6103	62923	1
6103	62923	1
3889	94572	1
6102	12008	1
3889	94572	1
3890	87740	1
3891	62927	1
5508	10433	1
5508	10433	1
6102	12008	1
6103	62923	1
3890	87740	1
3891	62927	1
5508	10433	1
3891	62927	1
5508	10433	1
3890	87740	1
5508	10433	1
3888	12008	1
3891	62927	1
3888	12008	1
6103	62923	1
6103	62923	1
3888	12008	1
3890	87740	1
3891	62927	1
3889	94572	1
3888	12008	1
1855	87742	1
1856	13322	1
1537	87744	1
2056	101487	1
2056	101487	1
1445	101489	1
1728	94581	1
2059	13322	1
1857	101490	1
2057	101492	1
2060	87745	1
2060	87745	1
1857	101490	1
1728	94581	1
2061	101495	1
2055	101496	1
1727	94584	1
1856	13322	1
2059	13322	1
2054	101497	1
2060	87745	1
2060	87745	1
2058	101499	1
2061	101495	1
1856	13322	1
2054	101497	1
1856	13322	1
1856	108002	19
1727	94584	1
1855	87742	1
2057	101492	1
1727	94584	1
2059	13322	1
1726	108005	1
1537	87744	1
1445	101489	1
1537	87744	1
2055	101496	1
1855	87742	1
1728	94581	1
2058	101499	1
1855	87742	1
2874	94587	1
2874	94587	1
2873	101504	1
2873	101504	1
2874	94587	1
2062	101505	1
1729	101507	1
2062	101505	1
1729	101507	1
1729	108009	39
1729	108010	34
1538	62929	1
1253	94591	1
2875	94592	1
3892	87750	1
1253	94591	1
2876	87751	1
3892	87750	1
1538	62929	1
1253	94591	1
6104	101511	1
2877	94596	1
1538	62929	1
3892	87750	1
2875	94592	1
6104	101511	1
2877	94596	1
2876	87751	1
1538	62929	1
2877	94596	1
2876	87751	1
2876	87751	1
2875	94592	1
3892	87750	1
2878	87754	1
2879	62935	1
2880	94602	1
1006	87758	1
3894	101515	1
190	87764	1
3895	62936	1
3896	101518	1
3893	87770	1
2882	94605	1
2883	101519	1
2884	94607	1
3897	87774	1
319	87776	1
3898	87777	1
3900	94615	1
1089	94618	1
1089	108014	31
860	11469	1
1090	62947	1
3904	87783	1
3905	62949	1
2065	94623	1
690	87786	1
2887	101524	1
2888	94630	1
656	108015	1
1049	94633	1
